"","species","acs","trt","Estimate","Est.Error","low95","high95"
"1","S. pennellii","LA2580","H",4.12074042978994,3.38319955964778,-2.34641769853155,10.7446239729417
"2","S. peruvianum","LA1305","H",12.1816082675885,3.00397093914912,6.36122597466542,18.2240216727103
"3","S. peruvianum","LA1973","H",20.3510423433432,2.82176210667582,14.7602590254704,25.8528806888269
"4","S. chilense","LA2748","H",6.29878205970439,3.22430631625952,-0.15900794398602,12.610820423973
"5","S. chilense","LA2931","H",5.52551175791277,2.82500880848908,-0.0645062469065778,11.026556061558
"6","S. chmielewskii","LA1317","H",20.6538902532888,2.69650991747424,15.2206312041535,25.9349353863669
"7","S. habrochaites","LA1918","H",12.0975974456053,2.85041516673872,6.36256092160412,17.5826040523814
"8","S. pennellii","LA3788","H",5.25293033186264,2.81787659317978,-0.212759039084189,10.8697352155891
"9","S. peruvianum","LA1336","H",16.0320349786571,2.81235811353051,10.5083062660767,21.6649525536856
"10","S. peruvianum","LA3795","H",8.13754866483317,2.76672461935419,2.60835530355242,13.4756225976126
"11","S. chilense","LA2773","H",4.96733839705895,2.51337635812184,-0.0197306552184531,9.94482244366601
"12","S. chmielewskii","LA1028","H",8.80267847073266,2.47950650992904,3.78764857393484,13.6013597717045
"13","S. chmielewskii","LA1318","H",16.5949809544234,2.69309750166662,11.3036723998244,21.7546703520568
"14","S. habrochaites","LA1361","H",14.1900260961653,2.5033697026861,9.22917097397717,19.1434549650208
"15","S. habrochaites","LA1928","H",11.0616995755421,5.12200299313691,1.12980507331122,21.0174320330383
"16","S. pennellii","LA1912","H",6.49930610320754,3.27685396436568,0.120261705421338,12.8212774629791
"17","S. pennellii","LA3791","H",2.66804555896756,2.96051484292373,-3.35030081549849,8.45216251262954
"18","S. peruvianum","LA1474","H",10.3068503728236,2.5549170082662,5.23575535306823,15.3048110188955
"19","S. chilense","LA1958","H",7.44933476357523,2.65270319210929,2.18819242182823,12.5564085843364
"20","S. chilense","LA2884","H",6.43756218070848,2.82595168197967,0.755853685740968,11.91032335122
"21","S. chmielewskii","LA1306","H",10.7906191403568,2.67846540854322,5.49304931304451,16.0653772218349
"22","S. chmielewskii","LA2663","H",13.7493390280788,2.67064573151505,8.44584524023542,18.9973615327915
"23","S. habrochaites","LA1363","H",19.826468350014,2.63886662769417,14.6933981900948,24.9118548416955
"24","S. habrochaites","LA2167","H",12.3777068592643,2.58679203494916,7.23225485407224,17.3926269466707
"25","S. pennellii","LA2560","H",8.92906222562313,5.08269862329517,-0.973192162311406,18.8693437563443
"26","S. peruvianum","LA446","H",10.9550952241785,2.83860480368059,5.30435802883482,16.4631549779427
"27","S. peruvianum","LA1954","H",15.1530443880048,2.48616013357941,10.2848994368305,20.059863705679
"28","S. chilense","LA1969","H",2.2087253139933,2.75152782437854,-3.13444578752642,7.66283109518717
"29","S. chilense","LA2891","H",6.76807782141177,2.91047313539134,0.990378413008487,12.3974611447191
"30","S. chmielewskii","LA1316","H",9.59766853920743,2.7642021646825,4.0786420699141,15.0390785204279
"31","S. chmielewskii","LA2695","H",12.2167545176452,2.54725616127306,7.19549586660678,17.2292519408532
"32","S. habrochaites","LA1691","H",10.0027758009961,2.81122271025508,4.48886245741104,15.4275378860142
"33","S. habrochaites","LA2204","H",17.258713663396,2.46017501593231,12.3900409845557,21.9723663647549
"40","S. habrochaites","LA361","H",21.1771541456524,2.90805950934696,15.3451784982014,26.8641112825063
"42","S. pennellii","LA1367","H",8.95053465774548,3.45493904208222,2.15046774563242,15.7072471338144
"99","S. pennellii","LA2580","L",24.902543095072,3.01601196560998,18.8868398604524,30.8503597802238
"100","S. peruvianum","LA1305","L",26.7526890936033,2.8124802065393,21.10988967559,32.1523558332408
"101","S. peruvianum","LA1973","L",48.8353272102366,2.71363448670175,43.490860825085,54.1116707941553
"102","S. chilense","LA2748","L",36.924617578436,2.99752549373356,30.8468530557647,42.6976789568159
"103","S. chilense","LA2931","L",27.6517867407639,2.54056378888496,22.579720591497,32.5631215316802
"104","S. chmielewskii","LA1317","L",41.2601780637078,2.58782517410776,36.1381721700085,46.3100141436811
"105","S. pennellii","LA1367","L",30.5371326400914,3.55527587218181,23.4696300600657,37.383088460761
"106","S. pennellii","LA3788","L",22.8252705635889,3.11223827472892,16.7319424762542,28.9814821718793
"107","S. peruvianum","LA1336","L",35.9399200218584,2.62600302276202,30.6746119286067,40.9881962036778
"108","S. peruvianum","LA3795","L",25.6229072507256,2.69158710318165,20.2193250947239,30.8148017604775
